Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LGTR,,LASI,LTHII
All Timesteps RMSE,0,0,0,0,0.0143395,0.00861326,0,0,0,0.0517083,0.0121548,0.0358265,0,0,0.00623749,0,0.0181516,0.002859,0.0393004,0.034615,0.0221553,0.00656389,0.0181814,0.0170381,0.0212853,0.0470512,0.0191565,0.0210035,0.0391798,0.0554014,0.00827427,0.00798439,0.00136556,0.0246885,0.0166885,0.0229598,0.00903377,0.0122862,0,0,0.00825764,0,0.0131104,0.00615297,0.0739002,0.0338975,0.0226641,0.0142367,0.00598148,0.0063469,0.013674,0.0500336,0.0124952,0.0183774,0.0217664,0.0239442,0.0217224,0.0636726,0.026734,0.00646726,0.00477321,0.00391422,0.00818421,0.0120912,0,0,0,0,0,0.0551328,0,0.00697694,0.0231806
0,0,0,0,0,0.0439937,0.0285452,0,0,0,0.0293333,0.0104438,0.0403171,0,0,0.0148284,0,0.0215689,0.00851111,0.0481644,0.0645321,0.0339304,0.0438339,0.0347702,0.0294086,0.0327139,0.0167347,0.027423,0.0316209,0.0224734,0.0328656,0.0213696,0.00987214,0.00343781,0.0262436,0.015839,0.0134029,0.038026,0.043142,0,0,0.0095559,0,0.012493,0.00581075,0.070349,0.0144071,0.0393253,0.0182529,0.0207994,0.00988766,0.0216697,0.0523553,0.0160363,0.0280087,0.0208333,0.0307619,0.024583,0.0315314,0.0279321,0.00939625,0.0026404,0.00359529,0.0269981,0.0484319,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0336088,0.0236024,0,0,0,0.0227479,0.0102186,0.0368862,0,0,0.0151129,0,0.0217028,0.00891421,0.0388026,0.074359,0.0169614,0.0428138,0.024441,0.0178106,0.0181883,0,0.0172597,0.0189309,0.0309887,0.0190578,0.0187009,0.0100201,0.00357707,0.0549847,0.0144846,0.0295567,0.0408847,0.0329962,0,0,0.0211554,0,0.0130595,0.0126247,0.0679947,0.0379759,0.0428835,0.0160734,0.0174223,0.0142849,0.0206464,0.0555392,0.0149063,0.0304932,0.0279931,0,0.0304358,0.0393681,0.0585613,0.0159612,0.00270782,0.00484602,0.0248494,0.0371159,0,0,0,0,0,0.0707923,0,0,0
2,0,0,0,0,0.0339482,0.0223495,0,0,0,0.0234069,0.0111586,0.0394452,0,0,0.0113503,0,0.0210074,0.00679347,0.0424901,0.0695744,0.0193799,0.0396849,0.0238011,0.0198968,0.0199591,0.0278459,0.0197453,0.020607,0.0273115,0.0201329,0.0154727,0.00941803,0.00254218,0.0612854,0.0151763,0,0.0402021,0.0333676,0,0,0.0145119,0,0.0128657,0.00885053,0.0692719,0.0475369,0.041931,0.0187735,0.0159169,0.0115222,0.0237211,0.0550871,0.0171894,0,0.0324076,0,0,0.0435765,0.0642598,0.0121914,0.00303955,0.00452085,0.0231883,0.037023,0,0,0,0,0,0.0732893,0,0,0
3,0,0,0,0,0.0323753,0.0226866,0,0,0,0.0355809,0.0145727,0.0421709,0,0,0.0120174,0,0.0186441,0.00490996,0.0408858,0,0.0163547,0.00657129,0.0247834,0.0138762,0.0170838,0.0352572,0.0158195,0.015706,0.0314952,0.0312343,0.00514259,0.00722784,0.00278951,0.057891,0.0187014,0,0.0122423,0.0299806,0,0,0.0194249,0,0.0131147,0.0118526,0.0727575,0.0445392,0.0252218,0.021218,0.00568444,0.00975086,0.0221058,0.0593929,0.0200286,0.0344247,0.0289396,0,0,0.0373957,0.0623095,0.0136921,0.00947785,0.00590413,0.0176119,0.0278983,0,0,0,0,0,0.0653308,0,0,0
4,0,0,0,0,0.0300496,0.0216789,0,0,0,0.0342389,0.0148881,0.0424917,0,0,0.0132236,0,0.0184229,0.00539958,0.0411323,0,0.016119,0.00794821,0.0224037,0.013248,0.0161067,0.0360008,0.0146121,0.0142658,0.0318865,0.0285245,0.00446154,0.00700803,0.00293531,0.0478832,0.0189808,0,0.0120516,0.0279512,0,0,0.0212851,0,0.0132406,0.0131781,0.0733345,0.0360521,0.0242151,0.0229257,0.00664471,0.0104702,0.022588,0.0597417,0.0214098,0,0,0,0,0.035426,0.0516294,0.0152972,0.010349,0.00634224,0.0172987,0.0247833,0,0,0,0,0,0.0650909,0,0,0
5,0,0,0,0,0.0271472,0.0171308,0,0,0,0.0297723,0.0140224,0.0409392,0,0,0.00997331,0,0.0187677,0.00435795,0.040354,0.0282458,0.0125573,0.00476902,0.0187867,0.0100332,0.0114742,0.0391896,0.00993783,0.0100323,0.0352274,0.0235735,0.00469557,0.00755397,0.00197437,0.0465761,0.0181728,0.0338799,0.0161051,0.0254564,0,0,0.0118265,0,0.0130217,0.00775992,0.0740438,0.0442712,0.029982,0.0204929,0.0043372,0.00617091,0.022181,0.0569916,0.0188654,0.0357961,0.0347005,0,0,0.0413527,0.0480958,0.0102926,0.00828347,0.00496984,0.0126229,0.0216262,0,0,0,0,0,0.0619089,0,0.00544158,0.0103649
6,0,0,0,0,0.0251504,0.0159796,0,0,0,0.0301663,0.0142912,0.0411872,0,0,0.0104113,0,0.0184878,0.00460777,0.0404039,0.0267084,0.0122189,0.00296746,0.0168759,0.00940955,0.0111417,0.0399138,0.00838819,0.00905445,0.0364157,0.0241296,0.00393678,0.00730398,0.00216803,0.0399464,0.0184896,0.033251,0.014813,0.0240491,0,0,0.0127834,0,0.0131022,0.00868812,0.0743905,0.0435223,0.0283922,0.0209686,0.00461422,0.0069085,0.0217239,0.0569647,0.0191131,0.0360202,0.0310582,0,0,0.0426356,0.0400563,0.0112622,0.00864431,0.00536869,0.0118256,0.0196313,0,0,0,0,0,0.0614554,0,0.00449133,0.0100959
7,0,0,0,0,0.0226813,0.0148352,0,0,0,0.0294236,0.0144739,0.0410667,0,0,0.0103895,0,0.0183448,0.00472306,0.0407566,0.0281827,0.0120584,0.00342441,0.0144761,0.00967973,0.0108893,0.0396873,0.00751909,0.00863364,0.0368178,0.0240785,0.00368826,0.00716561,0.00231493,0.0261246,0.0187294,0.0278937,0.0143096,0.022278,0,0,0.0129951,0,0.0132228,0.0091658,0.0744016,0.0373264,0.0273251,0.0220751,0.00474494,0.00667267,0.0212625,0.0569858,0.0200618,0.0353893,0,0,0,0.0404423,0.0256716,0.0113412,0.00811826,0.00564343,0.0111656,0.0184339,0,0,0,0,0,0.0617173,0,0.00563561,0
8,0,0,0,0,0.019393,0.0120058,0,0,0,0.0302076,0.0143955,0.0396511,0,0,0.00978699,0,0.0184493,0.0046543,0.0395348,0.0268623,0.0129182,0.00463658,0.0113268,0.00456259,0.00844969,0,0.000905776,0.00831233,0.0426417,0.0253254,0.00343383,0.00735092,0.00233257,0.0191656,0.018656,0.0274215,0.011971,0.019251,0,0,0.0104866,0,0.0132451,0.00791562,0.0741079,0.0380136,0.0279203,0.0221252,0.00402137,0.00646789,0.0197034,0.058035,0.0205106,0.0337139,0.0718198,0,0,0.0417347,0.0176554,0.0105834,0.00734512,0.00537752,0.00816644,0.0150225,0,0,0,0,0,0.0543625,0,0,0
